elapsed_band_index,elapsed_band,u_shape_phase,calendar_band_index,calendar_band,event_number_cat,org_size,org_size_score,org_size_unknown,employee_size,turnover_size,sector_proxy,entity_kind_group,prior_records_band,events,exposure_days
0,0-90,immediate,0,2012-2018,1,HUGE,4.0,0,very_large,unknown,finance,organisation,10k-100k,0,90
0,0-90,immediate,0,2012-2018,1,HUGE,4.0,0,very_large,unknown,government,government_body,1k-10k,0,90
0,0-90,immediate,0,2012-2018,1,HUGE,4.0,0,very_large,unknown,government,organisation,10k-100k,0,90
0,0-90,immediate,0,2012-2018,1,HUGE,4.0,0,very_large,unknown,government,organisation,1k-10k,0,90
0,0-90,immediate,0,2012-2018,1,HUGE,4.0,0,very_large,unknown,other,organisation,1k-10k,0,90
0,0-90,immediate,0,2012-2018,1,HUGE,4.0,0,very_large,unknown,other,organisation,unknown,0,180
0,0-90,immediate,0,2012-2018,1,HUGE,4.0,0,very_large,unknown,retail,organisation,100k+,0,122
0,0-90,immediate,0,2012-2018,1,HUGE,4.0,0,very_large,unknown,technology,organisation,100k+,0,270
0,0-90,immediate,0,2012-2018,1,HUGE,4.0,0,very_large,unknown,technology,organisation,unknown,0,90
0,0-90,immediate,0,2012-2018,1,HUGE,4.0,0,very_large,unknown,telecom_transport,organisation,10k-100k,0,90
0,0-90,immediate,0,2012-2018,1,LARGE,3.0,0,unknown,unknown,education,organisation,10k-100k,0,90
0,0-90,immediate,0,2012-2018,1,LARGE,3.0,0,very_large,unknown,education,organisation,1k-10k,0,90
0,0-90,immediate,0,2012-2018,1,LARGE,3.0,0,very_large,unknown,education,organisation,unknown,0,90
0,0-90,immediate,0,2012-2018,1,MEDIUM,2.0,0,small,unknown,finance,organisation,<1k,0,90
0,0-90,immediate,0,2012-2018,1,SMALL,1.0,0,small,unknown,government,organisation,10k-100k,0,90
0,0-90,immediate,0,2012-2018,1,SMALL,1.0,0,small,unknown,industrial,organisation,100k+,0,90
0,0-90,immediate,1,2019-2021,1,HUGE,4.0,0,unknown,unknown,government,organisation,unknown,0,90
0,0-90,immediate,1,2019-2021,1,HUGE,4.0,0,very_large,unknown,education,organisation,unknown,0,90
0,0-90,immediate,1,2019-2021,1,HUGE,4.0,0,very_large,unknown,finance,organisation,10k-100k,0,270
0,0-90,immediate,1,2019-2021,1,HUGE,4.0,0,very_large,unknown,government,government_body,10k-100k,0,151
0,0-90,immediate,1,2019-2021,1,HUGE,4.0,0,very_large,unknown,government,government_body,unknown,0,61
0,0-90,immediate,1,2019-2021,1,HUGE,4.0,0,very_large,unknown,government,organisation,10k-100k,0,188
