elapsed_band_index,elapsed_band,u_shape_phase,delayed_peak_phase,calendar_band_index,calendar_band,event_number_cat,org_size,org_size_score,org_size_unknown,employee_size,turnover_size,sector_proxy,entity_kind_group,prior_records_band,events,exposure_days
0,0-180,immediate,not_applicable,0,2012-2018,1,HUGE,4.0,0,very_large,unknown,finance,organisation,10k-100k,0,180
0,0-180,immediate,not_applicable,0,2012-2018,1,HUGE,4.0,0,very_large,unknown,government,government_body,1k-10k,0,180
0,0-180,immediate,not_applicable,0,2012-2018,1,HUGE,4.0,0,very_large,unknown,government,organisation,10k-100k,0,180
0,0-180,immediate,not_applicable,0,2012-2018,1,HUGE,4.0,0,very_large,unknown,government,organisation,1k-10k,0,180
0,0-180,immediate,not_applicable,0,2012-2018,1,HUGE,4.0,0,very_large,unknown,other,organisation,1k-10k,0,180
0,0-180,immediate,not_applicable,0,2012-2018,1,HUGE,4.0,0,very_large,unknown,other,organisation,unknown,0,360
0,0-180,immediate,not_applicable,0,2012-2018,1,HUGE,4.0,0,very_large,unknown,retail,organisation,100k+,0,122
0,0-180,immediate,not_applicable,0,2012-2018,1,HUGE,4.0,0,very_large,unknown,technology,organisation,100k+,0,540
0,0-180,immediate,not_applicable,0,2012-2018,1,HUGE,4.0,0,very_large,unknown,technology,organisation,unknown,0,180
0,0-180,immediate,not_applicable,0,2012-2018,1,HUGE,4.0,0,very_large,unknown,telecom_transport,organisation,10k-100k,0,122
0,0-180,immediate,not_applicable,0,2012-2018,1,LARGE,3.0,0,unknown,unknown,education,organisation,10k-100k,0,122
0,0-180,immediate,not_applicable,0,2012-2018,1,LARGE,3.0,0,very_large,unknown,education,organisation,1k-10k,0,180
0,0-180,immediate,not_applicable,0,2012-2018,1,LARGE,3.0,0,very_large,unknown,education,organisation,unknown,0,180
0,0-180,immediate,not_applicable,0,2012-2018,1,MEDIUM,2.0,0,small,unknown,finance,organisation,<1k,0,180
0,0-180,immediate,not_applicable,0,2012-2018,1,SMALL,1.0,0,small,unknown,government,organisation,10k-100k,0,180
0,0-180,immediate,not_applicable,0,2012-2018,1,SMALL,1.0,0,small,unknown,industrial,organisation,100k+,0,180
0,0-180,immediate,not_applicable,1,2019-2021,1,HUGE,4.0,0,unknown,unknown,government,organisation,unknown,0,178
0,0-180,immediate,not_applicable,1,2019-2021,1,HUGE,4.0,0,very_large,unknown,education,organisation,unknown,0,180
0,0-180,immediate,not_applicable,1,2019-2021,1,HUGE,4.0,0,very_large,unknown,finance,organisation,10k-100k,0,540
0,0-180,immediate,not_applicable,1,2019-2021,1,HUGE,4.0,0,very_large,unknown,government,government_body,10k-100k,0,241
0,0-180,immediate,not_applicable,1,2019-2021,1,HUGE,4.0,0,very_large,unknown,government,government_body,unknown,0,61
0,0-180,immediate,not_applicable,1,2019-2021,1,HUGE,4.0,0,very_large,unknown,government,organisation,10k-100k,0,278
0,0-180,immediate,not_applicable,1,2019-2021,1,HUGE,4.0,0,very_large,unknown,government,organisation,1k-10k,0,180
0,0-180,immediate,not_applicable,1,2019-2021,1,HUGE,4.0,0,very_large,unknown,government,organisation,unknown,0,900
0,0-180,immediate,not_applicable,1,2019-2021,1,HUGE,4.0,0,very_large,unknown,health,organisation,10k-100k,0,180
0,0-180,immediate,not_applicable,1,2019-2021,1,HUGE,4.0,0,very_large,unknown,health,organisation,1k-10k,0,180
0,0-180,immediate,not_applicable,1,2019-2021,1,HUGE,4.0,0,very_large,unknown,health,organisation,unknown,0,180
0,0-180,immediate,not_applicable,1,2019-2021,1,HUGE,4.0,0,very_large,unknown,media,organisation,unknown,0,360
0,0-180,immediate,not_applicable,1,2019-2021,1,HUGE,4.0,0,very_large,unknown,other,organisation,100k+,0,180
0,0-180,immediate,not_applicable,1,2019-2021,1,HUGE,4.0,0,very_large,unknown,other,organisation,10k-100k,0,180
0,0-180,immediate,not_applicable,1,2019-2021,1,HUGE,4.0,0,very_large,unknown,other,organisation,1k-10k,0,180
0,0-180,immediate,not_applicable,1,2019-2021,1,HUGE,4.0,0,very_large,unknown,other,organisation,unknown,0,1800
0,0-180,immediate,not_applicable,1,2019-2021,1,HUGE,4.0,0,very_large,unknown,retail,organisation,100k+,0,238
0,0-180,immediate,not_applicable,1,2019-2021,1,HUGE,4.0,0,very_large,unknown,retail,organisation,unknown,0,180
0,0-180,immediate,not_applicable,1,2019-2021,1,HUGE,4.0,0,very_large,unknown,technology,organisation,100k+,0,1284
0,0-180,immediate,not_applicable,1,2019-2021,1,HUGE,4.0,0,very_large,unknown,technology,organisation,10k-100k,0,143
0,0-180,immediate,not_applicable,1,2019-2021,1,HUGE,4.0,0,very_large,unknown,technology,organisation,1k-10k,0,180
0,0-180,immediate,not_applicable,1,2019-2021,1,HUGE,4.0,0,very_large,unknown,technology,organisation,unknown,0,360
0,0-180,immediate,not_applicable,1,2019-2021,1,HUGE,4.0,0,very_large,unknown,telecom_transport,organisation,100k+,0,180
0,0-180,immediate,not_applicable,1,2019-2021,1,HUGE,4.0,0,very_large,unknown,telecom_transport,organisation,10k-100k,0,58
0,0-180,immediate,not_applicable,1,2019-2021,1,LARGE,3.0,0,large,unknown,government,organisation,unknown,0,360
0,0-180,immediate,not_applicable,1,2019-2021,1,LARGE,3.0,0,large,unknown,industrial,organisation,unknown,0,215
0,0-180,immediate,not_applicable,1,2019-2021,1,LARGE,3.0,0,large,unknown,other,organisation,unknown,0,720
0,0-180,immediate,not_applicable,1,2019-2021,1,LARGE,3.0,0,large,unknown,technology,organisation,100k+,0,180
0,0-180,immediate,not_applicable,1,2019-2021,1,LARGE,3.0,0,large,unknown,technology,organisation,unknown,0,180
0,0-180,immediate,not_applicable,1,2019-2021,1,LARGE,3.0,0,medium,unknown,other,organisation,100k+,0,180
0,0-180,immediate,not_applicable,1,2019-2021,1,LARGE,3.0,0,medium,unknown,other,organisation,unknown,0,180
0,0-180,immediate,not_applicable,1,2019-2021,1,LARGE,3.0,0,unknown,unknown,education,organisation,10k-100k,0,58
0,0-180,immediate,not_applicable,1,2019-2021,1,LARGE,3.0,0,very_large,unknown,education,organisation,10k-100k,1,516
0,0-180,immediate,not_applicable,1,2019-2021,1,LARGE,3.0,0,very_large,unknown,government,government_body,1k-10k,0,180
0,0-180,immediate,not_applicable,1,2019-2021,1,LARGE,3.0,0,very_large,unknown,government,government_body,<1k,0,180
0,0-180,immediate,not_applicable,1,2019-2021,1,LARGE,3.0,0,very_large,unknown,government,government_body,unknown,0,180
0,0-180,immediate,not_applicable,1,2019-2021,1,LARGE,3.0,0,very_large,unknown,government,organisation,100k+,1,23
0,0-180,immediate,not_applicable,1,2019-2021,1,LARGE,3.0,0,very_large,unknown,government,organisation,unknown,0,180
0,0-180,immediate,not_applicable,1,2019-2021,1,LARGE,3.0,0,very_large,unknown,government,other_or_unknown,unknown,0,180
0,0-180,immediate,not_applicable,1,2019-2021,1,LARGE,3.0,0,very_large,unknown,health,organisation,10k-100k,0,180
0,0-180,immediate,not_applicable,1,2019-2021,1,LARGE,3.0,0,very_large,unknown,industrial,organisation,unknown,0,180
0,0-180,immediate,not_applicable,1,2019-2021,1,LARGE,3.0,0,very_large,unknown,media,organisation,unknown,0,180
0,0-180,immediate,not_applicable,1,2019-2021,1,LARGE,3.0,0,very_large,unknown,media,other_or_unknown,unknown,0,180
0,0-180,immediate,not_applicable,1,2019-2021,1,LARGE,3.0,0,very_large,unknown,other,organisation,unknown,0,360
0,0-180,immediate,not_applicable,1,2019-2021,1,LARGE,3.0,0,very_large,unknown,retail,organisation,unknown,0,180
0,0-180,immediate,not_applicable,1,2019-2021,1,LARGE,3.0,0,very_large,unknown,technology,organisation,100k+,0,540
0,0-180,immediate,not_applicable,1,2019-2021,1,LARGE,3.0,0,very_large,unknown,technology,organisation,unknown,0,360
0,0-180,immediate,not_applicable,1,2019-2021,1,LARGE,3.0,0,very_large,unknown,telecom_transport,organisation,<1k,0,180
0,0-180,immediate,not_applicable,1,2019-2021,1,MEDIUM,2.0,0,medium,unknown,finance,organisation,100k+,0,180
0,0-180,immediate,not_applicable,1,2019-2021,1,MEDIUM,2.0,0,medium,unknown,government,government_body,unknown,0,180
0,0-180,immediate,not_applicable,1,2019-2021,1,MEDIUM,2.0,0,medium,unknown,government,organisation,10k-100k,0,43
0,0-180,immediate,not_applicable,1,2019-2021,1,MEDIUM,2.0,0,medium,unknown,health,organisation,unknown,0,180
0,0-180,immediate,not_applicable,1,2019-2021,1,MEDIUM,2.0,0,medium,unknown,other,organisation,<1k,0,180
0,0-180,immediate,not_applicable,1,2019-2021,1,MEDIUM,2.0,0,medium,unknown,other,organisation,unknown,0,632
0,0-180,immediate,not_applicable,1,2019-2021,1,MEDIUM,2.0,0,medium,unknown,retail,organisation,unknown,0,180
0,0-180,immediate,not_applicable,1,2019-2021,1,MEDIUM,2.0,0,medium,unknown,technology,organisation,100k+,0,360
0,0-180,immediate,not_applicable,1,2019-2021,1,MEDIUM,2.0,0,medium,unknown,technology,organisation,unknown,0,180
0,0-180,immediate,not_applicable,1,2019-2021,1,MEDIUM,2.0,0,small,unknown,other,organisation,<1k,0,180
0,0-180,immediate,not_applicable,1,2019-2021,1,MEDIUM,2.0,0,small,unknown,other,organisation,unknown,0,180
0,0-180,immediate,not_applicable,1,2019-2021,1,MEDIUM,2.0,0,small,unknown,technology,organisation,unknown,1,123
0,0-180,immediate,not_applicable,1,2019-2021,1,SMALL,1.0,0,small,unknown,finance,organisation,unknown,0,180
0,0-180,immediate,not_applicable,1,2019-2021,1,SMALL,1.0,0,small,unknown,health,organisation,10k-100k,0,180
0,0-180,immediate,not_applicable,1,2019-2021,1,SMALL,1.0,0,small,unknown,health,organisation,unknown,0,272
0,0-180,immediate,not_applicable,1,2019-2021,1,SMALL,1.0,0,small,unknown,other,organisation,10k-100k,0,180
0,0-180,immediate,not_applicable,1,2019-2021,1,SMALL,1.0,0,small,unknown,technology,organisation,100k+,0,1080
0,0-180,immediate,not_applicable,1,2019-2021,1,SMALL,1.0,0,unknown,unknown,technology,organisation,<1k,0,180
0,0-180,immediate,not_applicable,1,2019-2021,1,UNKNOWN,2.8546875,1,unknown,unknown,education,other_or_unknown,unknown,0,180
0,0-180,immediate,not_applicable,1,2019-2021,1,UNKNOWN,2.8546875,1,unknown,unknown,finance,organisation,100k+,0,180
0,0-180,immediate,not_applicable,1,2019-2021,1,UNKNOWN,2.8546875,1,unknown,unknown,finance,organisation,10k-100k,0,180
0,0-180,immediate,not_applicable,1,2019-2021,1,UNKNOWN,2.8546875,1,unknown,unknown,finance,organisation,<1k,0,180
0,0-180,immediate,not_applicable,1,2019-2021,1,UNKNOWN,2.8546875,1,unknown,unknown,government,government_body,unknown,1,122
0,0-180,immediate,not_applicable,1,2019-2021,1,UNKNOWN,2.8546875,1,unknown,unknown,health,organisation,10k-100k,0,180
0,0-180,immediate,not_applicable,1,2019-2021,1,UNKNOWN,2.8546875,1,unknown,unknown,health,organisation,unknown,0,180
0,0-180,immediate,not_applicable,1,2019-2021,1,UNKNOWN,2.8546875,1,unknown,unknown,media,organisation,100k+,0,180
0,0-180,immediate,not_applicable,1,2019-2021,1,UNKNOWN,2.8546875,1,unknown,unknown,other,organisation,unknown,0,180
0,0-180,immediate,not_applicable,1,2019-2021,1,UNKNOWN,2.8546875,1,unknown,unknown,technology,organisation,100k+,0,360
0,0-180,immediate,not_applicable,1,2019-2021,1,UNKNOWN,2.8546875,1,unknown,unknown,technology,organisation,1k-10k,0,180
0,0-180,immediate,not_applicable,1,2019-2021,1,UNKNOWN,2.8546875,1,unknown,unknown,technology,other_or_unknown,100k+,0,391
0,0-180,immediate,not_applicable,1,2019-2021,2,HUGE,4.0,0,very_large,unknown,finance,organisation,10k-100k,0,360
0,0-180,immediate,not_applicable,1,2019-2021,2,HUGE,4.0,0,very_large,unknown,government,government_body,unknown,0,180
0,0-180,immediate,not_applicable,1,2019-2021,2,HUGE,4.0,0,very_large,unknown,government,organisation,1k-10k,0,180
0,0-180,immediate,not_applicable,1,2019-2021,2,HUGE,4.0,0,very_large,unknown,telecom_transport,organisation,100k+,0,180
0,0-180,immediate,not_applicable,1,2019-2021,2,LARGE,3.0,0,unknown,unknown,education,organisation,1k-10k,0,31
0,0-180,immediate,not_applicable,1,2019-2021,2,LARGE,3.0,0,very_large,unknown,education,organisation,100k+,0,540
